Date,Open,Close,Adj Close,Volume
1997-09-30,8806.83984375,8708.830078125,8708.7900390625,0
1997-10-01,8737.080078125,8695.01953125,8694.9794921875,0
1997-10-02,8698.669921875,8504.66015625,8504.6201171875,0
1997-10-03,8393.8798828125,8537.1796875,8537.1396484375,0
1997-10-06,8405.2998046875,8392.58984375,8392.5498046875,0
1997-10-07,8285.2802734375,8221.349609375,8221.3095703125,0
1997-10-08,8285.8896484375,8255.8203125,8255.7802734375,0
1997-10-09,8373.2001953125,8461.8701171875,8461.830078125,0
1997-10-13,8503.7998046875,8463.16015625,8463.1201171875,0
1997-10-14,8480.76953125,8429.349609375,8429.3095703125,0
1997-10-15,8381.2998046875,8262.400390625,8262.3603515625,0
1997-10-16,8177.39013671875,7997.81005859375,7997.7724609375,0
1997-10-17,8084.18994140625,7832.14990234375,7832.11376953125,0
1997-10-20,7579.85986328125,7316.77978515625,7316.74609375,0
1997-10-21,7468.830078125,7734.0498046875,7734.0146484375,0
1997-10-22,7752.31982421875,7692.47021484375,7692.43505859375,0
1997-10-23,7739.5498046875,7825.009765625,7824.9736328125,0
1997-10-24,7536.02978515625,7719.0400390625,7719.0048828125,0
1997-10-27,7719.85986328125,7662.52978515625,7662.49462890625,0
1997-10-28,7280.64013671875,7210.009765625,7209.9765625,0
1997-10-29,7391.31005859375,7089.56005859375,7089.52783203125,0
1997-10-30,7136.240234375,7313.39990234375,7313.3662109375,0
1997-11-03,7419.33984375,7646.35009765625,7646.31494140625,0
1997-11-04,7835.60009765625,7785.31982421875,7785.2841796875,0
1997-11-05,7733.22021484375,7864.22021484375,7864.18359375,0
1997-11-06,7987.080078125,8076.77001953125,8076.732421875,0
1997-11-07,8076.52001953125,7860.08984375,7860.05322265625,0
1997-11-10,7724.8701171875,7767.14013671875,7767.1044921875,0
1997-11-11,7765.22021484375,7712.16015625,7712.125,0
1997-11-13,7544.8701171875,7554.93994140625,7554.90478515625,0
1997-11-14,7673.14013671875,7482.919921875,7482.8857421875,0
1997-11-17,7528.330078125,7690.5400390625,7690.5048828125,0
1997-11-18,7870.02001953125,7644.97021484375,7644.93505859375,0
1997-11-19,7606.490234375,7705.39990234375,7705.36474609375,0
1997-11-20,7747.85986328125,7693.2900390625,7693.2548828125,0
1997-11-21,7762.22998046875,7773.35009765625,7773.314453125,0
1997-11-24,7880.02001953125,7756.25,7756.21435546875,0
1997-11-25,7702.72021484375,7759.97021484375,7759.9345703125,0
1997-11-26,7819.7900390625,7698.240234375,7698.205078125,0
1997-11-27,7737.47021484375,7762.14990234375,7762.1142578125,0
1997-11-28,7833.47021484375,7797.18994140625,7797.154296875,0
1997-12-01,7446.490234375,7400.64013671875,7400.60595703125,0
1997-12-02,7455.509765625,7679.52978515625,7679.49462890625,0
1997-12-03,7651.68017578125,7902.509765625,7902.47265625,0
1997-12-04,8003.8701171875,8050.1298828125,8050.09228515625,0
1997-12-05,8175.18994140625,8166.8701171875,8166.83251953125,0
1997-12-08,8265.3603515625,8402.169921875,8402.1298828125,0
1997-12-09,8512.6103515625,8333.490234375,8333.4501953125,0
1997-12-10,8368.16015625,8503.5498046875,8503.509765625,0
1997-12-11,8438.3798828125,8270.580078125,8270.5400390625,0
1997-12-12,8135.169921875,8398.26953125,8398.2294921875,0
1997-12-15,8420.91015625,8241.490234375,8241.4501953125,0
1997-12-16,8341.349609375,8193.650390625,8193.6103515625,0
1997-12-17,8297.6904296875,8347.2001953125,8347.16015625,0
1997-12-18,8361.900390625,8255.0498046875,8255.009765625,0
1997-12-19,8205.830078125,8092.580078125,8092.54248046875,0
1997-12-22,8223.6904296875,8104.02978515625,8103.9921875,0
1997-12-23,8192.7001953125,8038.31005859375,8038.2724609375,0
1997-12-24,7925.10009765625,8075.0498046875,8075.01220703125,0
1997-12-26,8135.4501953125,8132.5,8132.46240234375,0
1997-12-29,8111.77001953125,8076.64990234375,8076.6123046875,0
1997-12-30,8167.33984375,8145.77001953125,8145.732421875,0
1997-12-31,8226.330078125,8187.27001953125,8187.232421875,0
1998-01-05,8154.919921875,8028.6298828125,8028.59228515625,0
1998-01-06,7994.68017578125,7966.18017578125,7966.14306640625,0
1998-01-07,7968.5400390625,7835.56005859375,7835.52392578125,0
1998-01-08,7860.02978515625,7778.16015625,7778.12451171875,0
1998-01-09,7779.10986328125,7737.2001953125,7737.16455078125,0
1998-01-12,7578.14013671875,7375.14013671875,7375.10595703125,0
1998-01-13,7496.3798828125,7513.240234375,7513.20556640625,0
1998-01-14,7617.52978515625,7798.25,7798.21435546875,0
1998-01-15,7856.14990234375,7770.77001953125,7770.734375,0
1998-01-16,7756.419921875,7799.10009765625,7799.064453125,0
1998-01-19,7928.5,7847.6201171875,7847.583984375,0
